DeepFlav;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.989971) : (0.991033)) : (x<50 ? 0.991311:0.991735)) : (x<100 ? (x<80 ? (x<70 ? 0.991972:0.992366) : (0.992901)) : (x<120 ? 0.992662:0.992871))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.992488:0.988866) : (0.986918)) : (x<400 ? 0.979972:0.975718)) : (x<800 ? (x<670 ? 0.977093:0.969201) : (x<1000 ? 0.963599:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.982638) : (0.973689)) : (x<50 ? 0.967924:0.969381)) : (x<100 ? (x<80 ? (x<70 ? 0.969959:0.974606) : (0.976144)) : (x<120 ? 0.976475:0.981797))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.974345:0.960699) : (0.949208)) : (x<400 ? 0.954654:0.97628)) : (x<800 ? (x<670 ? 0.940211:0.94606) : (x<1000 ? 0.933502:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.08696) : (1.11695)) : (x<50 ? 1.15424:1.19027)) : (x<100 ? (x<80 ? (x<70 ? 1.23278:1.26252) : (1.29054)) : (x<120 ? 1.31637:1.38071))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.45752:1.49599) : (1.53326)) : (x<400 ? 1.57481:1.63725)) : (x<800 ? (x<670 ? 1.72237:1.8075) : (x<1000 ? 1.9404:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.988227) : (0.98946)) : (x<50 ? 0.989691:0.990189)) : (x<100 ? (x<80 ? (x<70 ? 0.990281:0.990493) : (0.991406)) : (x<120 ? 0.990839:0.991224))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.989748:0.98317) : (0.981817)) : (x<400 ? 0.973118:0.957967)) : (x<800 ? (x<670 ? 0.964978:0.946633) : (x<1000 ? 0.935806:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.980125) : (0.971093)) : (x<50 ? 0.96467:0.965077)) : (x<100 ? (x<80 ? (x<70 ? 0.96643:0.969222) : (0.972105)) : (x<120 ? 0.971883:0.977743))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.967212:0.952473) : (0.93793)) : (x<400 ? 0.940064:0.958712)) : (x<800 ? (x<670 ? 0.916416:0.895569) : (x<1000 ? 0.863583:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.08455) : (1.11382)) : (x<50 ? 1.15003:1.18567)) : (x<100 ? (x<80 ? (x<70 ? 1.22666:1.25702) : (1.28564)) : (x<120 ? 1.30636:1.37362))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.44696:1.47891) : (1.51161)) : (x<400 ? 1.54932:1.60268)) : (x<800 ? (x<670 ? 1.67823:1.71591) : (x<1000 ? 1.80747:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.991716) : (0.992606)) : (x<50 ? 0.992931:0.993282)) : (x<100 ? (x<80 ? (x<70 ? 0.993662:0.994238) : (0.994396)) : (x<120 ? 0.994484:0.994519))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.995228:0.994562) : (0.99202)) : (x<400 ? 0.986826:0.993469)) : (x<800 ? (x<670 ? 0.989209:0.991769) : (x<1000 ? 0.991393:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.985152) : (0.976286)) : (x<50 ? 0.971179:0.973684)) : (x<100 ? (x<80 ? (x<70 ? 0.973489:0.97999) : (0.980182)) : (x<120 ? 0.981068:0.985851))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.981478:0.968924) : (0.960487)) : (x<400 ? 0.969245:0.993849)) : (x<800 ? (x<670 ? 0.964006:0.996552) : (x<1000 ? 1.00342:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.08936) : (1.12008)) : (x<50 ? 1.15846:1.19488)) : (x<100 ? (x<80 ? (x<70 ? 1.2389:1.26802) : (1.29543)) : (x<120 ? 1.32638:1.38781))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.46809:1.51306) : (1.5549)) : (x<400 ? 1.60031:1.67182)) : (x<800 ? (x<670 ? 1.76651:1.89909) : (x<1000 ? 2.07332:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.963474) : (0.968587)) : (x<50 ? 0.970154:0.97205)) : (x<100 ? (x<80 ? (x<70 ? 0.972693:0.972141) : (0.973543)) : (x<120 ? 0.97215:0.97236))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.971813:0.964892) : (0.950692)) : (x<400 ? 0.936262:0.915823)) : (x<800 ? (x<670 ? 0.905865:0.876604) : (x<1000 ? 0.847359:0)))" 
1, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.940694) : (0.931786)) : (x<50 ? 0.917577:0.927253)) : (x<100 ? (x<80 ? (x<70 ? 0.923497:0.932796) : (0.941957)) : (x<120 ? 0.940112:0.941958))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.913882:0.883859) : (0.834267)) : (x<400 ? 0.814299:0.787165)) : (x<800 ? (x<670 ? 0.765918:0.71888) : (x<1000 ? 0.629325:0)))" 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.15976) : (1.17123)) : (x<50 ? 1.13226:1.18991)) : (x<100 ? (x<80 ? (x<70 ? 1.2255:1.24253) : (1.2565)) : (x<120 ? 1.26929:1.32834))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.38699:1.43242) : (1.55453)) : (x<400 ? 1.70174:1.98806)) : (x<800 ? (x<670 ? 1.98069:2.16273) : (x<1000 ? 2.7359:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.961677) : (0.966971)) : (x<50 ? 0.968495:0.970472)) : (x<100 ? (x<80 ? (x<70 ? 0.971006:0.970259) : (0.972074)) : (x<120 ? 0.970307:0.9707))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.969194:0.959643) : (0.945659)) : (x<400 ? 0.929578:0.898475)) : (x<800 ? (x<670 ? 0.894287:0.855482) : (x<1000 ? 0.822018:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.937096) : (0.928452)) : (x<50 ? 0.91205:0.920453)) : (x<100 ? (x<80 ? (x<70 ? 0.917048:0.924742) : (0.935768)) : (x<120 ? 0.93434:0.936409))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.90623:0.872847) : (0.820041)) : (x<400 ? 0.79739:0.768231)) : (x<800 ? (x<670 ? 0.739332:0.669092) : (x<1000 ? 0.566574:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.15477) : (1.16473)) : (x<50 ? 1.11492:1.17914)) : (x<100 ? (x<80 ? (x<70 ? 1.21209:1.22574) : (1.24261)) : (x<120 ? 1.25153:1.30966))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.36044:1.38695) : (1.49756)) : (x<400 ? 1.62681:1.8762)) : (x<800 ? (x<670 ? 1.84856:1.87247) : (x<1000 ? 2.21313:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.965272) : (0.970203)) : (x<50 ? 0.971814:0.973628)) : (x<100 ? (x<80 ? (x<70 ? 0.97438:0.974023) : (0.975011)) : (x<120 ? 0.973993:0.97402))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.974431:0.970141) : (0.955725)) : (x<400 ? 0.942947:0.933171)) : (x<800 ? (x<670 ? 0.917443:0.897726) : (x<1000 ? 0.872699:0)))" 
1, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.944291) : (0.935121)) : (x<50 ? 0.923105:0.934052)) : (x<100 ? (x<80 ? (x<70 ? 0.929946:0.94085) : (0.948146)) : (x<120 ? 0.945885:0.947508))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.921534:0.894871) : (0.848492)) : (x<400 ? 0.831207:0.806099)) : (x<800 ? (x<670 ? 0.792504:0.768667) : (x<1000 ? 0.692075:0)))" 
1, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.16475) : (1.17774)) : (x<50 ? 1.1496:1.20067)) : (x<100 ? (x<80 ? (x<70 ? 1.23891:1.25932) : (1.2704)) : (x<120 ? 1.28704:1.34703))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.41353:1.47789) : (1.61151)) : (x<400 ? 1.77666:2.09992)) : (x<800 ? (x<670 ? 2.11282:2.45298) : (x<1000 ? 3.25868:0)))" 
2, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.919414) : (0.933583)) : (x<50 ? 0.938336:0.940859)) : (x<100 ? (x<80 ? (x<70 ? 0.94123:0.939577) : (0.940718)) : (x<120 ? 0.937939:0.938755))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.935669:0.921374) : (0.894398)) : (x<400 ? 0.86932:0.828759)) : (x<800 ? (x<670 ? 0.796335:0.760522) : (x<1000 ? 0.699231:0)))" 
2, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.892726) : (0.873871)) : (x<50 ? 0.883821:0.897109)) : (x<100 ? (x<80 ? (x<70 ? 0.868906:0.860875) : (0.887495)) : (x<120 ? 0.886586:0.875518))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.778048:0.705513) : (0.604148)) : (x<400 ? 0.532636:0.537229)) : (x<800 ? (x<670 ? 0.473356:0.34986) : (x<1000 ? 0.354544:0)))" 
