deepcsv;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.985263) : (0.989467)) : (x<50 ? 0.991213:0.99101)) : (x<100 ? (x<80 ? (x<70 ? 0.991524:0.991036) : (0.991547)) : (x<120 ? 0.991191:0.991842))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.993615:0.990012) : (0.987414)) : (x<400 ? 0.980813:0.974911)) : (x<800 ? (x<670 ? 0.970028:0.968314) : (x<1000 ? 0.953227:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.990808) : (0.996512)) : (x<50 ? 0.996122:1.00176)) : (x<100 ? (x<80 ? (x<70 ? 0.99973:1.00343) : (1.00447)) : (x<120 ? 1.00538:1.01429))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.007:0.999029) : (0.984686)) : (x<400 ? 0.973786:1.0031)) : (x<800 ? (x<670 ? 0.988243:1.03301) : (x<1000 ? 0.932151:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.0646) : (1.11971)) : (x<50 ? 1.16493:1.20203)) : (x<100 ? (x<80 ? (x<70 ? 1.22816:1.25912) : (1.27594)) : (x<120 ? 1.29801:1.3522))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.40889:1.46568) : (1.43709)) : (x<400 ? 1.55096:1.57326)) : (x<800 ? (x<670 ? 1.65402:1.78362) : (x<1000 ? 2.00951:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.983524) : (0.987885)) : (x<50 ? 0.989608:0.989456)) : (x<100 ? (x<80 ? (x<70 ? 0.989858:0.989156) : (0.990057)) : (x<120 ? 0.989362:0.990188))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.990921:0.984254) : (0.982275)) : (x<400 ? 0.973919:0.956976)) : (x<800 ? (x<670 ? 0.957928:0.945928) : (x<1000 ? 0.925543:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.988094) : (0.994047)) : (x<50 ? 0.993024:0.997823)) : (x<100 ? (x<80 ? (x<70 ? 0.996212:0.998105) : (1.00029)) : (x<120 ? 1.00086:1.01023))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.999926:0.990579) : (0.972974)) : (x<400 ? 0.95886:0.984936)) : (x<800 ? (x<670 ? 0.962866:0.97711) : (x<1000 ? 0.861484:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.06265) : (1.11753)) : (x<50 ? 1.16181:1.19885)) : (x<100 ? (x<80 ? (x<70 ? 1.22207:1.25472) : (1.27217)) : (x<120 ? 1.29157:1.34695))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.3967:1.45261) : (1.39428)) : (x<400 ? 1.52875:1.54522)) : (x<800 ? (x<670 ? 1.6127:1.69468) : (x<1000 ? 1.86605:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.987001) : (0.991048)) : (x<50 ? 0.992817:0.992563)) : (x<100 ? (x<80 ? (x<70 ? 0.99319:0.992915) : (0.993037)) : (x<120 ? 0.99302:0.993496))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.996308:0.99577) : (0.992553)) : (x<400 ? 0.987708:0.992846)) : (x<800 ? (x<670 ? 0.982128:0.990701) : (x<1000 ? 0.980912:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.993521) : (0.998978)) : (x<50 ? 0.999221:1.0057)) : (x<100 ? (x<80 ? (x<70 ? 1.00325:1.00875) : (1.00864)) : (x<120 ? 1.00989:1.01835))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.01408:1.00748) : (0.996398)) : (x<400 ? 0.988712:1.02126)) : (x<800 ? (x<670 ? 1.01362:1.08891) : (x<1000 ? 1.00282:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.06654) : (1.12189)) : (x<50 ? 1.16805:1.20522)) : (x<100 ? (x<80 ? (x<70 ? 1.23426:1.26352) : (1.27971)) : (x<120 ? 1.30445:1.35746))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.42107:1.47876) : (1.4799)) : (x<400 ? 1.57317:1.60131)) : (x<800 ? (x<670 ? 1.69533:1.87256) : (x<1000 ? 2.15296:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.969738) : (0.977435)) : (x<50 ? 0.978809:0.977527)) : (x<100 ? (x<80 ? (x<70 ? 0.9768:0.975293) : (0.974651)) : (x<120 ? 0.971951:0.972023))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.974509:0.968656) : (0.959338)) : (x<400 ? 0.944582:0.926559)) : (x<800 ? (x<670 ? 0.917294:0.90866) : (x<1000 ? 0.886134:0)))" 
1, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.985482) : (0.995509)) : (x<50 ? 0.985968:0.991626)) : (x<100 ? (x<80 ? (x<70 ? 0.985311:0.98597) : (0.983341)) : (x<120 ? 0.987736:0.984569))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.973395:0.950827) : (0.912334)) : (x<400 ? 0.921848:0.922263)) : (x<800 ? (x<670 ? 0.883687:0.883347) : (x<1000 ? 0.832228:0)))" 
